timestamp,power in Watt
2025-05-27 18:30,29
2025-05-27 18:45,22
2025-05-27 19:00,28
2025-05-27 19:15,20
2025-05-27 19:30,18
2025-05-27 19:45,8
2025-05-27 20:00,8
2025-05-27 20:15,2
2025-05-27 21:15,0
2025-05-27 22:15,0
2025-05-27 23:15,0
2025-05-28 00:00,0
2025-05-28 01:00,0
2025-05-28 02:00,0
2025-05-28 03:00,0
2025-05-28 04:00,0
2025-05-28 05:00,0
2025-05-28 05:45,7
2025-05-28 06:00,16
2025-05-28 06:15,18
2025-05-28 06:30,29
2025-05-28 06:45,18
2025-05-28 07:00,30
2025-05-28 07:15,19
2025-05-28 07:30,19
2025-05-28 07:45,12
2025-05-28 08:00,24
2025-05-28 08:15,17
2025-05-28 08:30,30
2025-05-28 08:45,27
2025-05-28 09:00,34
2025-05-28 09:15,60
2025-05-28 09:30,57
2025-05-28 09:45,165
2025-05-28 10:00,138
2025-05-28 10:15,353
2025-05-28 10:30,128
2025-05-28 10:45,95
2025-05-28 11:00,126
2025-05-28 11:15,72
2025-05-28 11:30,143
2025-05-28 11:45,66
2025-05-28 12:00,34
2025-05-28 12:15,52
2025-05-28 12:30,63
2025-05-28 12:45,51
2025-05-28 13:00,36
2025-05-28 13:15,31
2025-05-28 13:30,67
2025-05-28 13:45,54
2025-05-28 14:00,59
2025-05-28 14:15,170
2025-05-28 14:30,109
2025-05-28 14:45,183
2025-05-28 15:00,101
2025-05-28 15:15,38
2025-05-28 15:30,97
2025-05-28 15:45,88
2025-05-28 16:00,102
2025-05-28 16:15,105
2025-05-28 16:30,187
2025-05-28 16:45,160
2025-05-28 17:00,122
2025-05-28 17:15,83
2025-05-28 17:30,72
2025-05-28 17:45,82
2025-05-28 18:00,58
2025-05-28 18:15,52
2025-05-28 18:30,35
2025-05-28 18:45,41
2025-05-28 19:00,31
2025-05-28 19:15,23
2025-05-28 19:30,23
2025-05-28 19:45,33
2025-05-28 20:00,10
2025-05-28 20:15,5
2025-05-28 20:30,2
2025-05-28 21:30,0
2025-05-28 22:30,0
2025-05-28 23:30,0
2025-05-29 00:00,0
